"state_usa","convictions_per_capita"
"Alabama",2.15
"Alaska",1.06
"Arizona",1.40
"Arkansas",3.02
"California",1.09
"Colorado",0.80
"Connecticut",2.01
"Delaware",1.08
"Florida",1.65
"Georgia",1.60
"Hawaii",0.43
"Idaho",1.12
"Illinois",1.27
"Indiana",0.90
"Iowa",0.58
"Kansas",1.02
"Kentucky",1.60
"Louisiana",3.72
"Maine",0.48
"Maryland",1.38
"Massachusetts",2.27
"Michigan",1.00
"Minnesota",0.68
"Mississippi",2.43
"Missouri",1.50
"Montana",1.09
"Nebraska",0.57
"Nevada",1.63
"New Hampshire",0.51
"New Jersey",1.90
"New Mexico",2.14
"New York",1.59
"North Carolina",1.05
"North Dakota",0.57
"Ohio",0.89
"Oklahoma",3.23
"Oregon",1.87
"Pennsylvania",1.25
"Rhode Island",8.35
"South Carolina",2.04
"South Dakota",0.87
"Tennessee",3.69
"Texas",1.82
"Utah",1.13
"Vermont",0.44
"Virginia",1.57
"Washington",2.53
"West Virginia",5.64
"Wisconsin",1.09
"Wyoming",1.03
